#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-1822	indole-3-acetate activation I	IAA biosynthesis from amide-conjugates	IAA deconjugation	indole-3-acetic acid biosynthesis from amide-conjugates	IAA activation I
PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)	indole glucosinolate breakdown (the PEN2 pathway)	glucosinolate activation	glucosinolate degradation
PWY-4441	DIMBOA-glucoside activation	
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)	glucosinolate activation	glucosinolate degradation
PWY-1921	indole-3-acetate activation II	IAA biosynthesis from ester-conjugates	indole-3-acetic acid biosynthesis from ester-conjugates	IAA activation II
PWY-5267	glucosinolate breakdown	glucosinolate hydrolysis	glucosinolate activation	glucosinolate degradation
PWY-7321	ecdysteroid metabolism (arthropods)	
PWY-1741	indole-3-acetyl-ester conjugate biosynthesis	indole-3-acetic acid-ester conjugate biosynthesis	IAA-ester conjugation	IAA-ester conjugate biosynthesis
PWY-102	gibberellin inactivation I (2&beta;-hydroxylation)	gibberellin 2&beta;-hydroxylation
PWY-6494	gibberellin inactivation III (epoxidation)	gibberellin 16&alpha;, 17-epoxidation
PWY-6477	gibberellin inactivation II (methylation)	gibberellin carboxymethylation	gibberellin methylation
PWY-6219	indole-3-acetyl-amide conjugate biosynthesis	IAA-amino acid conjugate biosynthesis	indole-3-acetyl-amino acid conjugate biosynthesis	IAA-amide conjugate biosynthesis
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis	superpathway of IAA conjugation	superpathway of indole-3-acetic acid conjugate biosynthesis	superpathway of IAA conjugate biosynthesis
PWY-6546	brassinosteroids inactivation	
PWY-5272	abscisic acid glucose ester metabolism	abscisic acid inactivation	abscisic acid degradation II	ABA conjugation pathway	abscisic acid conjugation pathway
PWY-5835	geranyl acetate biosynthesis	geraniol interconversion
PWY-801	L-homocysteine and L-cysteine interconversion	transsulfuration pathway
PWY-2343	daidzein conjugates interconversion	daidzein conjugate pool
PWY-2701	maackiain conjugates interconversion	
PWY-5114	UDP-sugars interconversion	
PWY-6972	oleandomycin activation/inactivation	
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	Stickland reaction
PWY-2561	medicarpin conjugates interconversion	
PWY-2904	formononetin conjugates interconversion	
PWY-5926	afrormosin conjugates interconversion	
PWY-2345	genistein conjugates interconversion	genistein conjugate pool
PWY-2861	biochanin A conjugates interconversion	
PWY-7075	phenylethyl acetate biosynthesis	
PWY-6012	acyl carrier protein metabolism	[acp] metabolism	ACP metabolism
