#110000
#110001
#110101
#110100
#010100
#010101
#001100
#001101
#011110
#011111
#001001
#001000
#011011
#011010
#000110
#000111
#000011
#000010
PWY-5344	L-homocysteine biosynthesis
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate);anthranilate pathway
PWY-5028	L-histidine degradation II
P221-PWY	octane oxidation
LEU-DEG2-PWY	L-leucine degradation I
PWY-5177	glutaryl-CoA degradation
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA;2-oxo acid dehydrogenase complex;branched-chain &alpha;-keto acid dehydrogenase complex
PWY-43	putrescine biosynthesis II
VALDEG-PWY	L-valine degradation I
PWY-6986	alginate degradation
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)
PWY-6157	autoinducer AI-1 biosynthesis
PWY-7698	2,5-xylenol and 3,5-xylenol degradation
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
PWY-5913	partial TCA cycle (obligate autotrophs);TCA cycle VI (obligate autotrophs)
PWY-6406	salicylate biosynthesis I;salicylic acid biosynthesis
PWY-6079	anthranilate degradation I (aerobic);2-aminobenzoate degradation (aerobic)
PWY-6409	pyoverdine I biosynthesis
PWY-7308	acrylonitrile degradation I
PWY-1781	&beta;-alanine degradation II
PWY-6666	pyocyanin biosynthesis
PWY-6578	8-amino-7-oxononanoate biosynthesis III;7-keto-8-aminopelargonate biosynthesis III
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic);DMB biosynthesis I
PWY-6660	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis;2-heptyl-3,4-dihydroxyquinoline biosynthesis;<i>Pseudomonas</i> quinolone signal biosynthesis;PQS biosynthesis
PWY-7515	<i>trans</i>-3-hydroxy-L-proline degradation
PWY-6834	spermidine biosynthesis III
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate
PWY-3661	glycine betaine degradation I
PWY-5726	deethylsimazine degradation
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)
PWY-5499	vitamin B<sub>6</sub> degradation;pyridoxine degradation;pyridoxamine degradation;pyridoxal degradation
PWY-7097	vanillin and vanillate degradation I
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
PWY-6599	guanine and guanosine salvage II
PWY-5941	glycogen degradation II;glycogenolysis II
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
ILEUDEG-PWY	L-isoleucine degradation I
PWY-6430	thymine degradation;uracil degradation (reductive)
PWY-5770	phenazine-1-carboxylate biosynthesis
P141-PWY	atrazine degradation I (aerobic);atrazine catabolism
PWY-6044	methanesulfonate degradation
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II;methylthioadenosine degradation II
PWY-6826	phosphatidylcholine biosynthesis VI;PCS pathway
PWY-6670	citronellol degradation;acyclic terpene utilization pathway
PWY-6672	<i>cis</i>-genanyl-CoA degradation;acyclic terpene utilization pathway
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine);L-homocysteine degradation
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)
PWY-3941	&beta;-alanine biosynthesis II;&beta;-alanine biosynthesis from proprionate
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)
#100100
#100101
#111100
#111101
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I;<i>D</i>-glucarate catabolism
ARABCAT-PWY	L-arabinose degradation I;L-arabinose catabolism
PWY-5436	L-threonine degradation IV
GALACTARDEG-PWY	D-galactarate degradation I;D-galactarate catabolism
MANNIDEG-PWY	mannitol degradation I
PWY-4121	glutathionylspermidine biosynthesis
RHAMCAT-PWY	L-rhamnose degradation I;rhamnose catabolism;rhamnose degradation
TRESYN-PWY	trehalose biosynthesis I;trehalose biosynthesis
PWY-4621	arsenate detoxification II (glutaredoxin)
2PHENDEG-PWY	phenylethylamine degradation I
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic);ubiquinone-8 biosynthesis (prokaryotic)
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer
PWY0-1576	hydrogen to fumarate electron transfer
PWY0-1315	L-lactaldehyde degradation (anaerobic)
PWY-7242	D-fructuronate degradation
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes);<i>p</i>-hydroxybenzoate biosynthesis II
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation;D-glucuronate catabolism;D-glucuronate degradation;glucuronic acid degradation;glucuronate degradation;&beta;-D-glucuronide degradation
PWY-6153	autoinducer AI-2 biosynthesis I
PWY0-862	(5Z)-dodec-5-enoate biosynthesis;(5Z)-dodecenoate biosynthesis;<i>cis</i>-dodecenoate biosynthesis
PWY0-461	L-lysine degradation I
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY-40	putrescine biosynthesis I
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer
PWY-6012	acyl carrier protein metabolism;[acp] metabolism;ACP metabolism
PWY-7343	UDP-glucose biosynthesis;UDP-D-glucose biosynthesis;UDP-&alpha;-D-glucose biosynthesis
PWY-7193	pyrimidine ribonucleosides salvage I
SORBDEG-PWY	D-sorbitol degradation II
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
HOMOSER-METSYN-PWY	L-methionine biosynthesis I;L-methionine biosynthesis from L-homoserine;L-methionine biosynthesis by transsulfuration
PWY0-661	PRPP biosynthesis II;5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I;demethylmenaquinone-8 biosynthesis I
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
PWY0-1296	purine ribonucleosides degradation
PWY-6910	hydroxymethylpyrimidine salvage;HMP salvage
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I;acetyl-CoA biosynthesis (from alcohol)
PWY0-1471	uracil degradation III
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I
PWY-1801	formaldehyde oxidation II (glutathione-dependent);formaldehyde oxidation II (GSH-dependent)
FERMENTATION-PWY	mixed acid fermentation;fermentation
PWY0-1295	pyrimidine ribonucleosides degradation
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)
PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer
PUTDEG-PWY	putrescine degradation I;putrescine degradation
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)
PWY-5162	2-oxopentenoate degradation;2-oxopent-4-enoate degradation;2-ketopentenoate degradation
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA;pyruvate dehydrogenase complex;acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PWY0-1221	putrescine degradation II
PWY-7545	pyruvate to cytochrome <i>bd</i> terminal oxidase electron transfer;pyruvate oxidation pathway
PWY-901	methylglyoxal degradation II;glyoxalase pathway;methylglyoxal catabolism
PWY0-1301	melibiose degradation
TYRSYN	L-tyrosine biosynthesis I
PWY0-1546	muropeptide degradation
